espn_id,wiki_name
2000,Abilene Christian Wildcats
2005,Air Force
2006,Akron
333,Alabama
9,Arizona State
12,Arizona
8,Arkansas
349,Army
2,Auburn
2046,Austin Peay Governors
252,BYU
2050,Ball State
239,Baylor
68,Boise State
103,Boston College
189,Bowling Green
225,Brown Bears
2803,Bryant Bulldogs
2083,Bucknell Bison
2084,Buffalo
2086,Butler Bulldogs
13,Cal Poly Mustangs
25,California
2097,Campbell Fighting Camels
2110,Central Arkansas Bears
2115,Central Connecticut Blue Devils
2117,Central Michigan
2127,Charleston Southern Buccaneers
2429,Charlotte
236,Chattanooga Mocs
2132,Cincinnati
228,Clemson
2142,Colgate Raiders
38,Colorado
36,Colorado State
171,Columbia Lions
172,Cornell Big Red
159,Dartmouth Big Green
2166,Davidson Wildcats
2168,Dayton Flyers
48,Delaware Fightin' Blue Hens
2169,Delaware State Hornets
2181,Drake Bulldogs
150,Duke
2184,Duquesne Dukes
151,East Carolina
2193,East Tennessee State Buccaneers
2197,Eastern Illinois Panthers
2198,Eastern Kentucky Colonels
2199,Eastern Michigan
331,Eastern Washington Eagles
2210,Elon Phoenix
2226,Florida Atlantic
57,Florida
2229,FIU
52,Florida State
2230,Fordham Rams
278,Fresno State
231,Furman Paladins
2241,Gardner–Webb Runnin' Bulldogs
46,Georgetown Hoyas
61,Georgia
59,Georgia Tech
2261,Hampton Pirates
108,Harvard Crimson
62,Hawaiʻi
107,Holy Cross Crusaders
2277,Houston Christian Huskies
248,Houston
47,Howard Bison
304,Idaho State Bengals
70,Idaho Vandals
356,Illinois
2287,Illinois State Redbirds
2916,Incarnate Word Cardinals
84,Indiana
282,Indiana State Sycamores
2294,Iowa
66,Iowa State
55,Jacksonville State
2305,Kansas
2306,Kansas State
338,Kennesaw State
2309,Kent State
96,Kentucky
99,LSU
322,Lafayette Leopards
2320,Lamar Cardinals
2329,Lehigh Mountain Hawks
2335,Liberty
2815,Lindenwood Lions
2341,LIU Sharks[c 3]
2348,Louisiana Tech
97,Louisville
311,Maine Black Bears
2368,Marist Red Foxes
120,Maryland
113,UMass
2377,McNeese Cowboys
235,Memphis
2382,Mercer Bears
2385,Mercyhurst Lakers
2771,Merrimack Warriors
193,Miami
2390,Miami
127,Michigan State
130,Michigan
2393,Middle Tennessee
135,Minnesota
344,Mississippi State
2623,Missouri State Bears
142,Missouri
2405,Monmouth Hawks
149,Montana Grizzlies
147,Montana State Bobcats
2413,Morehead State Eagles
2415,Morgan State Bears
93,Murray State Racers
152,NC State
2426,Navy
158,Nebraska
2440,Nevada
160,New Hampshire Wildcats
167,New Mexico
166,New Mexico State
2447,Nicholls Colonels
2450,Norfolk State Spartans
2453,North Alabama Lions
2448,North Carolina A&T Aggies
2428,North Carolina Central Eagles
153,North Carolina
155,North Dakota Fighting Hawks
2449,North Dakota State Bison
249,North Texas
2464,Northern Arizona Lumberjacks
2458,Northern Colorado Bears
2459,NIU
2460,Northern Iowa Panthers
2466,Northwestern State Demons
77,Northwestern
87,Notre Dame
195,Ohio
194,Ohio State
201,Oklahoma
197,Oklahoma State
145,Mississippi
2483,Oregon
204,Oregon State
213,Penn State
219,Penn Quakers
221,Pittsburgh
2502,Portland State Vikings
2506,Presbyterian Blue Hose
163,Princeton Tigers
2509,Purdue
227,Rhode Island Rams
242,Rice
257,Richmond Spiders
2523,Robert Morris Colonials
164,Rutgers
2545,Southeastern Louisiana Lions
2567,SMU
16,Sacramento State Hornets
2529,Sacred Heart Pioneers
2534,Sam Houston
2535,Samford Bulldogs
21,San Diego State
301,San Diego Toreros
23,San Jose State
2579,South Carolina
2569,South Carolina State Bulldogs
233,South Dakota Coyotes
2571,South Dakota State Jackrabbits
58,South Florida
2546,Southeast Missouri Redhawks
79,Southern Illinois Salukis
253,Southern Utah Thunderbirds
2598,Saint Francis Red Flash
2900,St. Thomas Tommies
24,Stanford
2617,Stephen F. Austin Lumberjacks
56,Stetson Hatters
284,Stonehill Skyhawks
2619,Stony Brook Seawolves
183,Syracuse
2628,TCU
2627,Tarleton Texans
218,Temple
2634,Tennessee State Tigers
2635,Tennessee Tech Golden Eagles
2633,Tennessee
245,Texas A&M
2837,Texas A&M–Commerce Lions
251,Texas
2641,Texas Tech
2643,The Citadel Bulldogs
2649,Toledo
119,Towson Tigers
2655,Tulane
202,Tulsa
5,UAB
399,Albany Great Danes
302,UC Davis Aggies
2116,UCF
26,UCLA
41,UConn
2439,UNLV
30,USC
2630,UT Martin Skyhawks
2638,UTEP
2636,UTSA
328,Utah State
3101,Utah Tech Trailblazers
254,Utah
2678,VMI Keydets
2674,Valparaiso Beacons
238,Vanderbilt
222,Villanova Wildcats
258,Virginia
259,Virginia Tech
2681,Wagner Seahawks
154,Wake Forest
264,Washington
265,Washington State
2692,Weber State Wildcats
2698,West Georgia Wolves
277,West Virginia
2717,Western Carolina Catamounts
2710,Western Illinois Leathernecks
98,Western Kentucky
2711,Western Michigan
2729,William & Mary Tribe
275,Wisconsin
2747,Wofford Terriers
2751,Wyoming
43,Yale Bulldogs
2754,Youngstown State Penguins