fips,school
40069,North Texas
40075,Oklahoma
40093,Oklahoma State
40103,Oklahoma State
40115,Arkansas
40133,Oklahoma
40141,Oklahoma
41009,Oregon State
06067,California
06071,Arizona State
06111,UCLA
08005,Air Force
05109,Louisiana Tech
05117,Memphis
05135,Arkansas State
13307,Auburn
13311,Georgia
13315,Georgia Southern
15005,Hawaii
16005,Utah State
16027,Boise State
16039,Boise State
16063,Utah State
16075,Boise State
17001,Missouri
17017,Illinois
30047,Washington State
31123,Colorado State
31127,Nebraska
31143,Nebraska
31153,Nebraska
31167,Nebraska
31179,Nebraska
31185,Nebraska
32011,Nevada
32027,Nevada
33005,UMass
33017,Boston College
34027,Rutgers
34037,Army
41023,Boise State
41047,Oregon State
41061,Washington State
42009,Penn State
48355,UTSA
48363,TCU
48373,Sam Houston
48389,UTEP
48405,Sam Houston
48413,UTSA
48421,Texas Tech
48439,TCU
48455,Sam Houston
48471,Sam Houston
13083,Jacksonville State
13089,Georgia State
13097,Georgia Tech
13105,Georgia
13111,Georgia Tech
13121,Georgia State
08067,New Mexico
08071,Air Force
05095,Memphis
17025,Indiana
17039,Illinois
17045,Illinois
17061,Illinois
17069,Western Kentucky
18049,Notre Dame
18053,Ball State
18063,Indiana
18075,Ball State
18093,Indiana
18099,Notre Dame
18113,Notre Dame
18119,Indiana
18133,Indiana
18145,Miami (OH)
18157,Purdue
35011,Texas Tech
30049,Washington State
30053,Washington State
30075,Wyoming
30085,Wyoming
31001,Nebraska
31005,Colorado State
31017,Nebraska
31027,Nebraska
31041,Nebraska
31059,Nebraska
31069,Colorado State
31077,Nebraska
31089,Nebraska
48481,Rice
48493,Texas State
48503,TCU
49005,Utah State
49017,BYU
47183,Vanderbilt
47187,Middle Tennessee
48003,Texas Tech
48019,UTSA
48027,Baylor
48041,Texas A&M
48059,TCU
48075,Texas Tech
48083,Texas
48089,Rice
02100,Washington
02170,Washington
06001,San Jose State
01105,Alabama
01111,Auburn
01113,Auburn
01123,Auburn
18165,Indiana
19003,Iowa State
19013,Iowa
19025,Iowa State
19035,Iowa State
17071,Iowa
17075,Purdue
17087,Western Kentucky
17095,Illinois
17113,Illinois
17123,Northern Illinois
17135,Illinois
17151,Western Kentucky
17163,Missouri
17187,Iowa
17199,Western Kentucky
31107,Nebraska
28077,Southern Miss
28081,Mississippi State
28085,Southern Miss
28087,Mississippi State
28107,Ole Miss
28123,Southern Miss
28133,Ole Miss
28145,Ole Miss
28159,Mississippi State
29003,Kansas
29015,Missouri
29027,Missouri
29039,Arkansas
29049,Kansas
29059,Missouri
29071,Missouri
48107,Texas Tech
48119,SMU
48131,UTSA
48143,TCU
48153,Texas Tech
48163,UTSA
48171,UTSA
48173,Texas Tech
48175,Texas State
48183,Louisiana Tech
48187,Texas State
48205,Texas Tech
48209,Texas State
48219,Texas Tech
48231,SMU
48241,Houston
48255,Texas State
48269,Texas Tech
48279,Texas Tech
48289,Sam Houston
08033,New Mexico
08039,Air Force
08045,Colorado
06079,UCLA
06093,Nevada
06097,California
06105,California
06017,Nevada
18005,Indiana
18017,Purdue
18027,Indiana
18041,Miami (OH)
18043,Louisville
13127,Georgia Southern
13133,Georgia
13143,Georgia Tech
13153,Georgia Southern
13163,Georgia Southern
13183,Georgia Southern
13193,Auburn
13207,Georgia State
13219,Georgia
13227,Georgia Tech
13237,Georgia
13249,Auburn
29083,Missouri
29093,Arkansas State
37003,Charlotte
37007,Charlotte
37009,Appalachian State
37033,Duke
37045,Charlotte
37063,Duke
37073,Old Dominion
37085,NC State
37097,Charlotte
37109,Charlotte
37123,North Carolina
37133,East Carolina
37145,Duke
48299,Texas
48313,Sam Houston
48325,UTSA
48335,Texas Tech
48343,Louisiana Tech
51127,Old Dominion
51133,Old Dominion
51167,Appalachian State
51179,Maryland
51515,Liberty
51590,Duke
51620,Old Dominion
51680,Liberty
51720,Appalachian State
51740,Old Dominion
51830,Old Dominion
12086,Miami
12103,South Florida
12123,Florida
13259,Auburn
13271,Georgia Southern
13283,Georgia Southern
13297,Georgia
20025,Oklahoma State
20031,Kansas
20033,Oklahoma State
20045,Kansas
20055,Kansas State
20069,Oklahoma State
20081,Oklahoma State
20093,Air Force
20101,Kansas State
20111,Kansas
20123,Kansas State
20133,Tulsa
20139,Kansas
20151,Oklahoma State
20159,Kansas State
20169,Kansas State
37157,North Carolina
37173,Clemson
37179,Charlotte
39059,Ohio
39069,Bowling Green
39083,Ohio State
39091,Ohio State
39103,Akron
39115,Ohio
39127,Ohio
39137,Bowling Green
39153,Akron
39165,Cincinnati
40005,North Texas
40015,Oklahoma
40027,Oklahoma
53011,Oregon State
53035,Washington
55053,Wisconsin
55067,Wisconsin
55078,Wisconsin
55087,Wisconsin
55099,Minnesota
55109,Minnesota
55121,Wisconsin
55135,Wisconsin
56005,Wyoming
56015,Wyoming
56041,Utah
01127,UAB
01133,UAB
02016,Hawaii
02060,Washington
72017,Miami
72021,Miami
72029,Miami
72039,Miami
72051,Miami
72063,Miami
72077,Miami
72085,Miami
72099,Miami
72111,Miami
72123,Miami
72139,Miami
20179,Kansas State
20191,Oklahoma State
20209,Kansas
21185,Louisville
21197,Kentucky
21203,Kentucky
21215,Kentucky
21227,Western Kentucky
21235,Tennessee
22007,LSU
22021,Louisiana–Monroe
22025,LSU
22047,LSU
22059,Louisiana
22067,Louisiana–Monroe
22083,Louisiana–Monroe
48101,Texas Tech
48105,UTSA
48109,UTEP
48111,Texas Tech
48113,SMU
48121,SMU
48125,Texas Tech
48133,TCU
48139,SMU
48145,Baylor
48147,SMU
48151,Texas Tech
48157,Rice
48181,SMU
48189,Texas Tech
48193,Baylor
48345,Texas Tech
48347,Sam Houston
48351,Louisiana
51135,Liberty
51137,Virginia
51139,James Madison
51143,Duke
51153,Maryland
51163,Liberty
51169,Appalachian State
51171,James Madison
51181,Old Dominion
51183,Old Dominion
53033,Washington
55035,Minnesota
55037,Wisconsin
55041,Wisconsin
55043,Wisconsin
55047,Wisconsin
55049,Wisconsin
55055,Wisconsin
55057,Wisconsin
55059,Northwestern
56027,Wyoming
56029,Utah State
56035,Utah State
56037,Wyoming
56043,Wyoming
72001,Miami
72007,Miami
72011,Miami
53043,Washington State
53051,Washington State
53053,Washington
48197,Oklahoma
48199,Houston
48201,Houston
48203,Louisiana Tech
48211,Oklahoma
48213,SMU
48215,UTSA
48223,SMU
48235,UTSA
48237,TCU
48239,Rice
48243,UTEP
48249,UTSA
48253,TCU
48259,UTSA
51185,Virginia Tech
51191,Appalachian State
51195,Appalachian State
51520,Appalachian State
51550,Old Dominion
51580,Virginia Tech
51610,Maryland
51640,Wake Forest
51678,Liberty
51683,Maryland
51685,Maryland
51710,Old Dominion
51730,Old Dominion
51750,Virginia Tech
51790,James Madison
55065,Wisconsin
55075,Wisconsin
55077,Wisconsin
55083,Wisconsin
55085,Wisconsin
55091,Minnesota
55093,Minnesota
55097,Wisconsin
53063,Washington State
53067,Washington
53069,Washington
53077,Washington State
54003,Maryland
54005,Marshall
54009,Pittsburgh
54011,Marshall
54015,Marshall
54019,Virginia Tech
12037,Florida State
12057,South Florida
12065,Florida State
08093,Air Force
08099,Air Force
08107,Colorado
08113,Air Force
08115,Colorado State
05125,Arkansas State
05131,Arkansas
05139,Louisiana–Monroe
02290,Washington
18171,Purdue
18177,Miami (OH)
19005,Wisconsin
17059,Western Kentucky
17067,Iowa
18061,Louisville
18073,Purdue
18081,Indiana
18083,Indiana
18089,Purdue
18107,Purdue
20121,Kansas
20129,Air Force
20137,Kansas State
20147,Kansas State
20153,Kansas State
20161,Kansas State
20175,Oklahoma State
22065,Louisiana–Monroe
09001,Army
05021,Arkansas State
21119,Marshall
21127,Marshall
21133,Appalachian State
21141,Western Kentucky
21149,Western Kentucky
21155,Kentucky
04015,Arizona State
21163,Louisville
21177,Western Kentucky
19051,Iowa
19065,Iowa
19071,Nebraska
19083,Iowa State
19085,Nebraska
19097,Northern Illinois
19109,Iowa State
18111,Purdue
19119,Iowa State
19133,Nebraska
19143,Iowa State
19167,Iowa State
19173,Iowa State
19185,Iowa State
19191,Iowa
20001,Kansas
20007,Oklahoma State
20011,Kansas
22071,Tulane
27075,Minnesota
21161,Kentucky
27123,Minnesota
27135,Minnesota
27151,Minnesota
27155,Minnesota
27165,Minnesota
27167,Minnesota
27173,Minnesota
28001,LSU
28019,Mississippi State
28025,Mississippi State
28027,Ole Miss
19117,Iowa State
37053,Old Dominion
37079,East Carolina
37089,Clemson
42035,Penn State
42041,Penn State
20021,Arkansas
28055,Louisiana–Monroe
28063,Southern Miss
28071,Ole Miss
23001,Boston College
23003,Boston College
22087,Tulane
38015,Minnesota
38021,Minnesota
38023,Minnesota
38033,Wyoming
38049,Minnesota
28047,South Alabama
28105,Mississippi State
28111,South Alabama
28113,Southern Miss
28125,Louisiana–Monroe
28131,South Alabama
35047,Texas Tech
35051,New Mexico State
35055,New Mexico
36001,UMass
36005,Army
42043,Temple
42059,West Virginia
42065,Penn State
42071,Temple
42077,Temple
42083,Penn State
41035,Nevada
23005,Boston College
45029,Georgia Southern
45041,Coastal Carolina
45043,Coastal Carolina
47023,Memphis
38051,Minnesota
38057,Minnesota
40067,North Texas
40077,Arkansas
40079,Arkansas
40089,Louisiana Tech
40095,North Texas
40105,Tulsa
40113,Tulsa
36015,Syracuse
36023,Syracuse
36025,Army
36029,Buffalo
40139,Texas Tech
40151,Oklahoma State
41001,Boise State
41007,Oregon State
41041,Oregon State
31139,Nebraska
31145,Nebraska
19029,Iowa State
19037,Iowa
17083,Missouri
17085,Northern Illinois
17097,Northwestern
17115,Illinois
17119,Illinois
47039,Vanderbilt
47043,Vanderbilt
47053,Memphis
47055,Middle Tennessee
23013,Boston College
23019,Boston College
23025,Boston College
40121,Tulsa
40129,Oklahoma
24045,Navy
25025,Boston College
26001,Central Michigan
41015,Oregon
41025,Boise State
26089,Central Michigan
26105,Central Michigan
28147,Southern Miss
42107,Temple
42127,Rutgers
42129,Pittsburgh
49015,BYU
49021,UNLV
49025,BYU
47029,Tennessee
23027,Boston College
31157,Wyoming
31165,Wyoming
31175,Nebraska
31177,Nebraska
32001,Nevada
32003,UNLV
26011,Central Michigan
30067,Utah State
30073,Washington State
30079,Wyoming
30081,Washington State
30089,Washington State
30095,Utah State
26109,Wisconsin
28149,Louisiana–Monroe
28161,Ole Miss
29005,Nebraska
29011,Arkansas
29019,Missouri
29025,Missouri
39085,Kent State
39095,Toledo
44009,UConn
45011,Georgia Southern
45013,Georgia Southern
32015,Nevada
32019,Nevada
32029,Nevada
39111,West Virginia
39113,Miami (OH)
39123,Toledo
39145,Marshall
39155,Kent State
30103,Wyoming
30105,Wyoming
38077,Minnesota
38085,Minnesota
38099,Minnesota
38105,Wyoming
29031,Arkansas State
29037,Kansas
36047,Rutgers
36053,Syracuse
36061,Rutgers
36067,Syracuse
41045,Boise State
41055,Oregon State
41057,Oregon State
41063,Boise State
41067,Oregon State
29101,Missouri
29107,Missouri
29113,Missouri
29123,Arkansas State
29127,Missouri
39163,Ohio
47073,Appalachian State
47079,Vanderbilt
47089,Tennessee
47091,Appalachian State
47097,Memphis
47103,Middle Tennessee
47115,Middle Tennessee
47121,Tennessee
47123,Tennessee
47131,Memphis
39007,Kent State
48371,UTSA
48377,UTEP
48391,Rice
48401,Sam Houston
48407,Sam Houston
48409,UTSA
36079,Army
48443,UTSA
48461,Texas Tech
48465,UTSA
48473,Rice
48479,UTSA
48487,North Texas
48495,Texas Tech
48501,Texas Tech
48505,UTSA
49003,Utah State
48005,Sam Houston
48007,Texas State
48037,Louisiana Tech
48043,UTSA
29183,Missouri
29189,Missouri
29199,Missouri
24005,Navy
24025,Navy
26013,Wisconsin
26029,Central Michigan
30111,Wyoming
31015,Nebraska
31021,Nebraska
26121,Central Michigan
26127,Central Michigan
26139,Western Michigan
26141,Central Michigan
26151,Eastern Michigan
26153,Central Michigan
45019,Coastal Carolina
46071,Wyoming
46081,Wyoming
46083,Nebraska
46089,Minnesota
46099,Iowa State
46105,Wyoming
46109,Minnesota
33001,Boston College
33007,Boston College
33011,Boston College
33013,Boston College
34001,Temple
34005,Temple
34011,Temple
31031,Nebraska
31043,Nebraska
31049,Colorado State
31055,Nebraska
31061,Nebraska
31067,Kansas State
39035,Kent State
39051,Bowling Green
39053,Marshall
29063,Kansas
29069,Arkansas State
29081,Missouri
29089,Missouri
29091,Arkansas State
37015,East Carolina
37023,Appalachian State
37029,Old Dominion
37031,East Carolina
29133,Arkansas State
29143,Arkansas State
29149,Arkansas State
29155,Arkansas State
29165,Kansas
37101,NC State
37107,East Carolina
37113,Clemson
37119,Charlotte
37125,NC State
40001,Arkansas
40007,Oklahoma State
40021,Arkansas
40023,SMU
40033,Oklahoma
40041,Arkansas
40051,Oklahoma
37189,Appalachian State
48051,Texas A&M
35023,UTEP
35029,UTEP
35031,New Mexico
35035,UTEP
47153,Middle Tennessee
47157,Memphis
47163,Appalachian State
47171,Appalachian State
47181,Vanderbilt
45057,Charlotte
36085,Rutgers
36097,Syracuse
36105,Army
36111,Army
36115,UMass
36119,Army
45091,Charlotte
46009,Nebraska
46013,Minnesota
46021,Minnesota
29209,Arkansas
29217,Arkansas
29227,Kansas
30001,Utah State
37171,Wake Forest
37177,East Carolina
39067,Pittsburgh
39073,Ohio
39079,Marshall
48057,Rice
48071,Houston
48093,Baylor
48097,North Texas
24510,Navy
45063,South Carolina
45067,Coastal Carolina
45077,Clemson
26053,Wisconsin
46027,Nebraska
46031,Minnesota
46047,Wyoming
46053,Nebraska
27007,Minnesota
27015,Minnesota
27021,Minnesota
27027,Minnesota
46123,Nebraska
46135,Nebraska
30011,Wyoming
30017,Wyoming
30025,Wyoming
30027,Utah State
30033,Wyoming
30039,Washington State
30045,Washington State
31131,Nebraska
25005,Boston College
25009,Boston College
25019,Boston College
34023,Rutgers
26055,Central Michigan
31091,Nebraska
31095,Nebraska
31103,Nebraska
31111,Nebraska
28089,Mississippi State
28093,Ole Miss
27031,Minnesota
27049,Minnesota
27055,Wisconsin
37049,East Carolina
37051,NC State
37131,East Carolina
37137,East Carolina
37149,Clemson
37155,Coastal Carolina
42091,Temple
42097,Penn State
42103,Army
34025,Rutgers
34039,Rutgers
35003,New Mexico State
35005,Texas Tech
35009,Texas Tech
30061,Washington State
38001,Wyoming
09011,UConn
10001,Navy
10003,Temple
12009,UCF
12075,Florida
05031,Arkansas State
05035,Memphis
05041,Louisiana–Monroe
05057,Louisiana Tech
05063,Arkansas State
05069,Ole Miss
05075,Arkansas State
05077,Memphis
04025,Arizona State
05005,Arkansas State
05007,Arkansas
16073,Boise State
16085,Boise State
16087,Boise State
17013,Missouri
17021,Illinois
17027,Illinois
16031,Utah State
16035,Washington State
16037,Boise State
16049,Boise State
16059,Boise State
18023,Purdue
02282,Washington
12021,FIU
12033,South Alabama
15003,Hawaii
16007,Utah State
16011,Utah State
16013,Utah State
05105,Arkansas
05107,Ole Miss
05119,Arkansas State
17031,Northwestern
18123,Louisville
18129,Western Kentucky
18143,Louisville
18147,Louisville
18155,Cincinnati
18163,Western Kentucky
18029,Cincinnati
18037,Louisville
18039,Notre Dame
13135,Georgia
13145,Auburn
13151,Georgia State
13161,Georgia Southern
13167,Georgia Southern
13177,Florida State
13179,Georgia Southern
20107,Kansas
20117,Kansas State
17149,Missouri
17157,Arkansas State
17161,Iowa
17171,Missouri
17173,Illinois
17181,Arkansas State
17185,Indiana
17193,Western Kentucky
17201,Northern Illinois
13287,Florida State
13291,Clemson
13299,Florida
21105,Arkansas State
48273,UTSA
48311,UTSA
48315,Louisiana Tech
48321,Rice
48337,North Texas
54047,Virginia Tech
54057,James Madison
54063,Virginia Tech
54071,James Madison
54077,West Virginia
51059,Maryland
51071,Virginia Tech
51077,Wake Forest
51083,Duke
51089,Wake Forest
51093,Old Dominion
51099,Maryland
51105,Appalachian State
21033,Western Kentucky
13305,Georgia Southern
51117,Duke
72023,Miami
72033,Miami
72037,Miami
72047,Miami
72049,Miami
72057,Miami
72065,Miami
53007,Washington
72087,Miami
72091,Miami
72097,Miami
72107,Miami
72113,Miami
72121,Miami
72127,Miami
72133,Miami
72141,Miami
48117,Texas Tech
48261,UTSA
48135,Texas Tech
48141,UTEP
48155,Texas Tech
48161,Sam Houston
48165,Texas Tech
51107,Maryland
51131,Old Dominion
51147,Liberty
51149,Old Dominion
51159,Old Dominion
51161,Virginia Tech
51165,James Madison
51175,Old Dominion
51177,Maryland
72071,Miami
55061,Wisconsin
56039,Utah State
72003,Miami
72009,Miami
72015,Miami
53047,Washington State
48129,Texas Tech
48167,Houston
48221,TCU
48225,Sam Houston
48229,UTEP
48245,Houston
48257,SMU
51193,Navy
51199,Old Dominion
53031,Washington
55031,Minnesota
55051,Minnesota
53049,Washington
51570,Old Dominion
51630,Maryland
51650,Old Dominion
51700,Old Dominion
51735,Old Dominion
51770,Virginia Tech
55071,Wisconsin
55079,Northwestern
55089,Wisconsin
53055,Washington
53061,Washington
53071,Washington State
53073,Washington
22039,Louisiana
27139,Minnesota
31113,Nebraska
37043,Clemson
39057,Ohio State
36009,Buffalo
47169,Middle Tennessee
46073,Nebraska
48365,Louisiana Tech
48207,TCU
51690,Wake Forest
55131,Wisconsin
54067,Virginia Tech
51087,Old Dominion
01043,Jacksonville State
01109,Troy
09009,UConn
05049,Arkansas State
05127,Arkansas
21117,Cincinnati
19123,Iowa
47015,Middle Tennessee
38011,Wyoming
38083,Minnesota
48375,Texas Tech
31065,Nebraska
28135,Ole Miss
41019,Oregon
29013,Kansas
55001,Wisconsin
53057,Washington
06085,San Jose State
13017,Georgia Southern
18047,Miami (OH)
22123,Louisiana–Monroe
26067,Michigan State
37185,NC State
45015,Coastal Carolina
13045,Georgia State
37093,NC State
20149,Kansas State
28033,Memphis
42001,Maryland
37161,Charlotte
21051,Tennessee
13245,Georgia Southern
13251,Georgia Southern
13261,Auburn
13263,Auburn
13273,Florida State
20193,Kansas State
20199,Air Force
20201,Kansas State
21195,Marshall
21211,Kentucky
21213,Western Kentucky
21223,Louisville
21225,Western Kentucky
20037,Arkansas
20043,Kansas
20061,Kansas State
20067,Air Force
20071,Air Force
20083,Kansas State
20089,Kansas State
22019,Louisiana
22027,Louisiana Tech
22029,LSU
22037,LSU
53009,Washington
53027,Washington
55105,Northern Illinois
55117,Wisconsin
55127,Northwestern
55009,Wisconsin
49047,BYU
49053,UNLV
50001,UMass
50009,Boston College
50017,UMass
50023,UMass
22003,Louisiana
22009,Louisiana
22101,LSU
22107,Louisiana–Monroe
22109,Tulane
21021,Kentucky
21023,Cincinnati
22045,Louisiana
21047,Vanderbilt
21055,Western Kentucky
21059,Western Kentucky
21073,Kentucky
21075,Arkansas State
21089,Marshall
21095,Appalachian State
55137,Wisconsin
56001,Wyoming
56007,Wyoming
56011,Wyoming
56013,Wyoming
56021,Colorado State
54031,James Madison
54035,Marshall
54041,West Virginia
50027,UMass
51001,Old Dominion
51021,Virginia Tech
51027,Appalachian State
51037,Duke
51041,Old Dominion
